date,tweet,cleaned_tweet,keywords,polarity,subjectivity
Aug 25,And I actually don’t smoke because I’m vain and terrified of shit like lung cancer. I get my lil Delta 8 and 10 from the hippie white folk stores.,and i actually dont smoke because im vain and terrified of shit like lung cancer i get my lil delta  and  from the hippie white folk stores,"actually, cancer, delta, dont, folk, hippie, im, like, lil, lung, shit, smoke, stores, terrified, vain, white",-0.06666666666666667,0.3
Aug 25,"We've been giving Delta-8 a whirl, and I can report that, while it is weak, it is too strong to stay legal in Indiana for long. Go score that mild buzz while you can.",weve been giving delta a whirl and i can report that while it is weak it is too strong to stay legal in indiana for long go score that mild buzz while you can,"buzz, delta, giving, indiana, legal, long, mild, report, score, stay, strong, weak, weve, whirl",0.10833333333333332,0.4916666666666667
Aug 25,delta 8 not too bad,delta  not too bad,"bad, delta",-0.6999999999999998,0.6666666666666666
Aug 25,delta 8 lowkey be having me on my ass,delta  lowkey be having me on my ass,"ass, delta, having, lowkey",0.0,0.0
Aug 25,Welcome to Texas where weed is illegal but you can buy delta 8 at antique stores.,welcome to texas where weed is illegal but you can buy delta  at antique stores,"antique, buy, delta, illegal, stores, texas, weed, welcome",0.15000000000000002,0.7
Aug 25,The way I was cross faded yesterday after having delta 8 gummies and drinking about 5 beers probs the best combination ever,the way i was cross faded yesterday after having delta  gummies and drinking about  beers probs the best combination ever,"beers, best, combination, cross, delta, drinking, faded, gummies, having, probs, way, yesterday",0.5,0.15
Aug 26,got a delta 8 cart for sleep,got a delta  cart for sleep,"cart, delta, got, sleep",0.0,0.0
Aug 26,god bless delta 8,god bless delta ,"bless, delta, god",0.0,0.0
Aug 26,"Yeah sorry, I’m not gonna sit here and get excited and grateful for delta-8 tetrahydrocannabinol (THC). That’s like being friends with my ex, disappointing and incredibly patronizing. Honestly not happy with the legal cannabis movement until ALL criminal records are expunged.",yeah sorry im not gonna sit here and get excited and grateful for delta tetrahydrocannabinol thc thats like being friends with my ex disappointing and incredibly patronizing honestly not happy with the legal cannabis movement until all criminal records are expunged,"cannabis, criminal, delta, disappointing, ex, excited, expunged, friends, gonna, grateful, happy, honestly, im, incredibly, legal, like, movement, patronizing, records, sit, sorry, tetrahydrocannabinol, thats, thc, yeah",-0.060714285714285714,0.7285714285714285
Aug 26,"men get so uncomfortable when i have to explain the difference of thc, delta-8, and cbd to them at work… theyre always like “this is so weird i feel like im talking about weed with my daughter!” like okay??",men get so uncomfortable when i have to explain the difference of thc delta and cbd to them at work theyre always like this is so weird i feel like im talking about weed with my daughter like okay,"cbd, daughter, delta, difference, explain, feel, im, like, men, okay, talking, thc, theyre, uncomfortable, weed, weird, work",-0.16666666666666666,0.8333333333333334
Aug 26,Just ate 600 mg delta 8 edible. See if this makes me feel again,just ate  mg delta  edible see if this makes me feel again,"ate, delta, edible, feel, just, makes, mg",0.0,0.0
Aug 26,"Delta 8 THC enhances sleep & boosts your dreams, unlike marijuana “Delta 9” that disables REM sleep and any power to lucid dream or access its states & I feel like I have the biggest portion of my life back.",delta  thc enhances sleep  boosts your dreams unlike marijuana delta  that disables rem sleep and any power to lucid dream or access its states  i feel like i have the biggest portion of my life back,"access, biggest, boosts, delta, disables, dream, dreams, enhances, feel, life, like, lucid, marijuana, portion, power, rem, sleep, states, thc, unlike",0.0,0.0
Aug 26,delta 8 is so good idc,delta  is so good idc,"delta, good, idc",0.7,0.6000000000000001
